episode: 18900/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 1.14
episode: 19000/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 2.01
episode: 19100/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 1.76
episode: 19200/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 1.42
episode: 19300/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 2.2
episode: 19400/1000000, reward: 0.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 1.14
episode: 19500/1000000, reward: 0.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 1.18
episode: 19600/1000000, reward: 0.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 1.34
episode: 19700/1000000, reward: 1.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 0.93
episode: 19800/1000000, reward: 0.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 1.16
episode: 19900/1000000, reward: 0.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 0.58
episode: 20000/1000000, reward: 0.0, epsilon: 0.14, max reward: 11.0, mean past 100 rewards: 1.27
episode: 20100/1000000, reward: 0.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 1.33
episode: 20200/1000000, reward: 1.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 1.26
episode: 20300/1000000, reward: 2.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 0.85
episode: 20400/1000000, reward: 0.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 1.4
episode: 20500/1000000, reward: 0.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 1.65
episode: 20600/1000000, reward: 0.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 1.05
episode: 20700/1000000, reward: 0.0, epsilon: 0.13, max reward: 11.0, mean past 100 rewards: 1.1
episode: 20800/1000000, reward: 2.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 0.9
episode: 20900/1000000, reward: 2.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 1.65
episode: 21000/1000000, reward: 2.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 0.75
episode: 21100/1000000, reward: 0.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 1.24
episode: 21200/1000000, reward: 2.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 0.33
episode: 21300/1000000, reward: 0.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 0.75
episode: 21400/1000000, reward: 0.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 0.83
episode: 21500/1000000, reward: 0.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 1.62
episode: 21600/1000000, reward: 2.0, epsilon: 0.12, max reward: 11.0, mean past 100 rewards: 0.87
episode: 21700/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 1.75
episode: 21800/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 1.5
episode: 21900/1000000, reward: 2.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 1.26
episode: 22000/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 2.02
episode: 22100/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 0.91
episode: 22200/1000000, reward: 2.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 1.37
episode: 22300/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 1.55
